Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,polygon.started,polygon.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
36:40,None,1,Chest_of_drawers.jpg,Furniture,ArrowLeft.png,None,None,0,4,4,9,0,0,0,3,,,,,,,,,,,64.60667430004105,None,2,0.228441399987787,64.3552996001672,None,64.3552996001672,None,64.3552996001672,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
36:40,None,2,chair.jpg,Furniture,ArrowUp.png,None,None,0,4,4,9,0,1,1,2,,,,,,,,,,,65.97418180014938,None,2,0.2138882998842746,65.68025079998188,None,65.68025079998188,None,65.68025079998188,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
36:40,None,1,bedside_table.jpg,Furniture,ArrowLeft.png,None,None,0,4,4,9,0,2,2,0,,,,,,,,,,,67.35830940003507,None,2,0.217709899879992,67.06096870009787,None,67.06096870009787,None,67.06096870009787,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
36:40,None,3,bookcase.jpg,Furniture,ArrowRight.png,None,None,0,4,4,9,0,3,3,1,,,,,,,,,,,68.65822630003095,None,2,0.22866080002859235,68.3904870999977,None,68.3904870999977,None,68.3904870999977,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
36:40,None,1,Chest_of_drawers.jpg,Furniture,ArrowLeft.png,None,None,0,4,4,9,,,,,0,0,0,3,,,,,,,69.94228580011986,None,,,,,,,,,2,0.250113399932161,69.67559910006821,None,69.67559910006821,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
36:40,None,3,bookcase.jpg,Furniture,ArrowRight.png,None,None,0,4,4,9,,,,,0,1,1,1,,,,,,,71.2933067001868,None,,,,,,,,,2,0.23005850007757545,71.01103790011257,None,71.01103790011257,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
36:40,None,1,bedside_table.jpg,Furniture,ArrowLeft.png,None,None,0,4,4,9,,,,,0,2,2,0,,,,,,,72.57733430014923,None,,,,,,,,,2,0.2616391000337899,72.29483170015737,None,72.29483170015737,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
36:40,None,2,chair.jpg,Furniture,ArrowUp.png,None,None,0,4,4,9,,,,,0,3,3,2,,,,,,,73.92736500012688,None,,,,,,,,,2,0.25813319999724627,73.64599129999988,None,73.64599129999988,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
36:40,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
28:32,None,1,skateboard.jpg,Vehicles,ArrowLeft.png,None,None,0,5,5,7,0,0,0,2,,,,,,,,,,,76.39572650007904,None,2,0.2354501998052001,76.11273410008289,None,76.11273410008289,None,76.11273410008289,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
28:32,None,3,tractor.jpg,Vehicles,ArrowRight.png,None,None,0,5,5,7,0,1,1,3,,,,,,,,,,,77.68056250014342,None,2,0.16423640004359186,77.42813100013882,None,77.42813100013882,None,77.42813100013882,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
28:32,None,3,scooter.jpg,Vehicles,ArrowRight.png,None,None,0,5,5,7,0,2,2,0,,,,,,,,,,,78.94694220018573,None,2,0.18484910018742085,78.69687800016254,None,78.69687800016254,None,78.69687800016254,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
28:32,None,2,ship.jpg,Vehicles,ArrowUp.png,None,None,0,5,5,7,0,3,3,1,,,,,,,,,,,80.17845870018937,None,2,0.09404739993624389,80.02014859998599,None,80.02014859998599,None,80.02014859998599,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
28:32,None,1,skateboard.jpg,Vehicles,ArrowLeft.png,None,None,0,5,5,7,,,,,0,0,0,2,,,,,,,81.43087450019084,None,,,,,,,,,2,0.13528240006417036,81.28070620005019,None,81.28070620005019,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
28:32,None,3,scooter.jpg,Vehicles,ArrowRight.png,None,None,0,5,5,7,,,,,0,1,1,0,,,,,,,82.6646659001708,None,,,,,,,,,2,0.19106569979339838,82.43294139998034,None,82.43294139998034,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
