Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,NotSeen,Encoding_Name.thisRepN,Encoding_Name.thisTrialN,Encoding_Name.thisN,Encoding_Name.thisIndex,Encoding_Profession.thisRepN,Encoding_Profession.thisTrialN,Encoding_Profession.thisN,Encoding_Profession.thisIndex,Recall_Name.thisRepN,Recall_Name.thisTrialN,Recall_Name.thisN,Recall_Name.thisIndex,Recall_Proffession.thisRepN,Recall_Proffession.thisTrialN,Recall_Proffession.thisN,Recall_Proffession.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_9.started,text_9.stopped,polygon_7.started,polygon_7.stopped,Jitter,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,image_3.started,image_3.stopped,text_8.started,text_8.stopped,text_10.started,text_10.stopped,polygon_8.started,polygon_8.stopped,text_6.started,text_6.stopped,polygon_5.started,polygon_5.stopped,key_resp_1.keys,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,text_4.started,text_4.stopped,text_7.started,text_7.stopped,polygon_6.started,polygon_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
recall_proffessions,3,Images_Faces/SH8.png,0,Målare,T.,S.,M.,NY,,,,,,,,,,,,,0,2,2,7,,,,,,,,,2.75,,,,,,,,,,,,,,,,None,543.8153748999976,None,543.8153748999976,None,543.8153748999976,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,2,Images_Faces/SH10.png,0,Pilot,F.,P.,A.,NY,,,,,,,,,,,,,0,3,3,9,,,,,,,,,2.75,,,,,,,,,,,,,,,,None,550.5817261999982,None,550.5817261999982,None,550.5817261999982,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,1,Images_Faces/SH7.png,0,Bonde,B.,A.,L.,NY,,,,,,,,,,,,,0,4,4,6,,,,,,,,,4.75,,,,,,,,,,,,,,,,None,557.3570433999994,None,557.3570433999994,None,557.3570433999994,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,2,Images_Faces/SH1.png,0,Kassabiträde,G.,K.,A.,NY,,,,,,,,,,,,,0,5,5,0,,,,,,,,,3.25,,,,,,,,,,,,,,,,None,566.1152711000032,None,566.1152711000032,None,566.1152711000032,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,1,Images_Faces/SH15.png,0,Murare,M.,I.,C.,NY,,,,,,,,,,,,,0,6,6,14,,,,,,,,,8.25,,,,,,,,,,,,,,,,None,573.3735939000035,None,573.3735939000035,None,573.3735939000035,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,1,Images_Faces/SH11.png,0,HR-specialist,H.,M.,T.,NY,,,,,,,,,,,,,0,7,7,10,,,,,,,,,7.25,,,,,,,,,,,,,,,,None,585.6403256999984,None,585.6403256999984,None,585.6403256999984,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,1,Images_Faces/SH9.png,0,Företagssäljare,F.,L.,A.,NY,,,,,,,,,,,,,0,8,8,8,,,,,,,,,2.75,,,,,,,,,,,,,,,,None,596.9070793999999,None,596.9070793999999,None,596.9070793999999,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,1,Images_Faces/SH6.png,0,Parkeringsvakt,P.,K.,S.,NY,,,,,,,,,,,,,0,9,9,5,,,,,,,,,9.75,,,,,,,,,,,,,,,,None,603.6653191000005,None,603.6653191000005,None,603.6653191000005,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,2,Images_Faces/SH12.png,0,Ingenjör,L.,I.,G.,NY,,,,,,,,,,,,,0,10,10,11,,,,,,,,,7.5,,,,,,,,,,,,,,,,None,617.4321579000025,None,617.4321579000025,None,617.4321579000025,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,2,Images_Faces/SH13.png,0,Lagerarbetare,D.,L.,N.,NY,,,,,,,,,,,,,0,11,11,12,,,,,,,,,9.5,,,,,,,,,,,,,,,,None,628.9405384999991,None,628.9405384999991,None,628.9405384999991,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,2,Images_Faces/SH2.png,0,Grundskollärare,F.,G.,U.,NY,,,,,,,,,,,,,0,12,12,1,,,,,,,,,8.0,,,,,,,,,,,,,,,,None,642.4487032000034,None,642.4487032000034,None,642.4487032000034,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,1,Images_Faces/SH3.png,0,Journalist,J.,B.,G.,NY,,,,,,,,,,,,,0,13,13,2,,,,,,,,,9.0,,,,,,,,,,,,,,,,None,654.4571705999988,None,654.4571705999988,None,654.4571705999988,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
recall_proffessions,2,Images_Faces/SH4.png,0,Fritidspedagog,G.,F.,N.,NY,,,,,,,,,,,,,0,14,14,3,,,,,,,,,8.25,,,,,,,,,,,,,,,,None,667.4739281000002,None,667.4739281000002,None,667.4739281000002,None,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
