TrialRows_Name,TrialRows_Proffession,Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,Name_trials.thisRepN,Name_trials.thisTrialN,Name_trials.thisN,Name_trials.thisIndex,Encoding_Name.thisRepN,Encoding_Name.thisTrialN,Encoding_Name.thisN,Encoding_Name.thisIndex,ImmediateRecall_Name.thisRepN,ImmediateRecall_Name.thisTrialN,ImmediateRecall_Name.thisN,ImmediateRecall_Name.thisIndex,Proffession_trials.thisRepN,Proffession_trials.thisTrialN,Proffession_trials.thisN,Proffession_trials.thisIndex,Encoding_Proffession.thisRepN,Encoding_Proffession.thisTrialN,Encoding_Proffession.thisN,Encoding_Proffession.thisIndex,ImmediateRecall_Proffession.thisRepN,ImmediateRecall_Proffession.thisTrialN,ImmediateRecall_Proffession.thisN,ImmediateRecall_Proffession.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_8.started,text_8.stopped,polygon_5.started,polygon_5.stopped,Jitter,key_resp_1.keys,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,text_4.started,text_4.stopped,polygon_6.started,polygon_6.stopped,key_resp_ImmediateRecall.keys,key_resp_ImmediateRecall.started,key_resp_ImmediateRecall.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,Circle.started,Circle.stopped,key_resp_Circle.keys,key_resp_Circle.started,key_resp_Circle.stopped,key_resp_ImmediateRecall.rt,key_resp_Circle.rt,key_resp_1.rt,text_9.started,text_9.stopped,polygon_4.started,polygon_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
12:18,42:48,encoding_name,1,Images_Faces/O44.jpg,Viktor,0,V.,C.,F.,0,2,2,2,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,3.5,None,342.6307375000324,None,342.6307375000324,None,342.6307375000324,None,346.6281028999947,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
12:18,42:48,encoding_name,2,Images_Faces/O45.jpg,Marcus,0,T.,M.,B.,0,2,2,2,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,350.16695159999654,None,350.16695159999654,None,350.16695159999654,None,355.3679836000083,356.3696676000254,None,355.3679836000083,356.3696676000254,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
12:18,42:48,encoding_name,1,Images_Faces/O44.jpg,Viktor,0,V.,C.,F.,0,2,2,2,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,357.6698495000019,None,357.6698495000019,None,357.6698495000019,None,362.887984400033,363.8889477000339,None,362.887984400033,363.8889477000339,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
12:18,42:48,encoding_name,2,Images_Faces/O46.jpg,Emil,0,E.,E.,R.,0,2,2,2,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,365.19075650000013,None,365.19075650000013,None,365.19075650000013,None,370.42225930001587,371.42554359999485,None,370.42225930001587,371.42554359999485,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
12:18,42:48,encoding_name,2,Images_Faces/O48.jpg,Bertil,0,S.,B.,A.,0,2,2,2,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,372.71033150004223,None,372.71033150004223,None,372.71033150004223,None,377.9418285000138,378.94628860004013,None,377.9418285000138,378.94628860004013,1.6226673999917693,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
12:18,42:48,encoding_name,3,Images_Faces/O43.jpg,David,0,B.,H.,D.,0,2,2,2,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,380.23154050001176,None,380.23154050001176,None,380.23154050001176,None,385.45001890003914,386.4499761000043,3,385.45001890003914,386.4499761000043,0.745705800014548,0.6718589999945834,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
12:18,42:48,encoding_name,2,Images_Faces/O47.jpg,Niklas,0,R.,N.,E.,0,2,2,2,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,387.75391470000613,None,387.75391470000613,None,387.75391470000613,None,392.9765715000103,393.986006000021,None,392.9765715000103,393.986006000021,0.9708529000054114,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
12:18,42:48,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
0:6,30:36,encoding_name,3,Images_Faces/O35.jpg,Henrik,0,B.,K.,H.,0,3,3,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,9.75,None,395.28773020004155,None,395.28773020004155,None,395.28773020004155,None,399.2689228000236,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
0:6,30:36,encoding_name,3,Images_Faces/O31.jpg,Filip,0,P.,V.,F.,0,3,3,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,4.25,None,409.04364960000385,None,409.04364960000385,None,409.04364960000385,None,413.0417219999945,None,,,,,,,,,,,,,,,,,,,,,001,2022_Oct_24_1816,FacesNamesProffessions_Encoding,2021.2.3,None,
